"DocCode","TypeCode","DocName","Category","Bytes","RptHash"
"PTU10001","PTU1","Input VAT Report - CEE (System)","P","",""
"PTU20001","PTU2","Output VAT Report (System) - CEE (System)","P","",""
"PWZ00001","PWZ0","Payment Wizard Recommendation Report (System)","P","",""
"PWZ00002","PWZ0","Payment Wizard Recommendation Report - CR (GB) (System)","C","80384","836BE1550F77EE80BE43BB5893B2859F"
"PWZ10001","PWZ1","Country/Region Summary Report (System)","P","",""
"PWZ20001","PWZ2","Currency Summary Report (System)","P","",""
"PWZ30001","PWZ3","Payment Method Summary Report (System)","P","",""
"PWZ40001","PWZ4","Bank Account Summary Report (System)","P","",""
"PWZ50001","PWZ5","Cheques Summary Report (System)","P","",""
"PWZ60001","PWZ6","Bank Transfer Summary Report (System)","P","",""
"PWZ70001","PWZ7","Error Log Report (System)","P","",""
"PWZ80001","PWZ8","BP Summary Report (System)","P","",""
"PWZ90001","PWZ9","Bill of Exchange Summary Report (Sys) (System)","P","",""
"QUT10001","QUT1","Sales Quotation (System)","P","",""
"QUT10002","QUT1","AR Sales Quotation (Service) - CR (GB) (System)","C","150528","A491304EF724A12176EF6A4685CFC0CF"
"QUT10003","QUT1","Sales Quotation (DIN) (System)","P","",""
"QUT20001","QUT2","Quotation Master Template (System)","P","",""
"QUT20002","QUT2","AR Sales Quotation (Item) - CR (GB) (System)","C","168960","0C5E92D20B3D9B9E4EAD1EBCA2FE160F"
"QUT20003","QUT2","Sales Quotation (System)","P","",""
"QUT20004","QUT2","1.Sale Quotation_ใบเสนอราคาขาย","C","78848","01D0D3063C7A3873C553E797B5633A6E"
"QUT20005","QUT2","Sales Quotation - Type and Details (System)","P","",""
"QUT20006","QUT2","2.Sale Quotation_ใบเสนอราคาขาย_(Dis)","C","90112","E1ADE02A7211E8E0DC3CA631AA707246"
"QUT20007","QUT2","Sales Quotation (DIN) (System)","P","",""
"QUT20008","QUT2","3.Sale Quotation_ใบเสนอราคาขาย(BOM)","C","90112","224F7743A20AB1C9AA2A113B56160924"
"QUT30001","QUT3","Sales Quotation (System)","P","",""
"R8560001","R856","Bank Statement Report (System)","P","",""
"R8560003","R856","Preliminary Page - Banking (System)","P","",""
"RB010001","RB01","Tax Register Book (System)","P","",""
"RCH00001","RCH0","Supplier Cheque Register Report (System)","P","",""
"RCL10001","RCL1","Recurring Transaction Instances (System)","P","",""
"RCM10001","RCM1","Order Recommendations (System)","P","",""
"RCRI0001","RCRI","Stock Valuation Method Report","C","52224","290E8BEB0B989E526D0A5811727B4946"
"RCRI0002","RCRI","Bank Reconciliation Report","C","196096","C4726662A9E3D326FAD29C7120781B46"
"RCRI0003","RCRI","Payment Orders Report by Business Partner","C","62976","300609A5F7B47DCB059B7879B23A864E"
"RCRI0004","RCRI","Payment Orders Report by Payment Run","C","60928","50FBE1065F86B6CF533C4DA6DCBB82D9"
"RCRI0005","RCRI","Annual Sales Analysis (by Quarter)","C","90624","79A28FB470B28BADC1A9EB170EABFD8C"
"RCRI0006","RCRI","Business Assessment Report","C","59392","10DFA65471E870277BF2CBF46D71A448"
"RCRI0007","RCRI","Customer Open Document List","C","94720","4827EC543B148408155AF4EDF8996B1E"
"RCRI0008","RCRI","Customer Open Item List - HANA","C","97280","BA26990998E439E4B6FEB132DD137859"
"RCRI0009","RCRI","Stock Turnover Analysis","C","77824","3DB21F9CF46C37F4D401F01DF2E801DC"
"RCRI0010","RCRI","Stock Turnover Analysis - HANA","C","77824","3AA58BD5FECD8C0281FC3F17D5D57E04"
"RCRI0011","RCRI","Monthly Customer Status","C","101376","6D0E6653E47D34303BF5A3E3947C1887"
"RCRI0012","RCRI","Monthly Customer Status - HANA","C","93184","A08C62015F1E52E3B84495D7C75FB188"
"RCT10001","RCT1","Receipt (System)","P","",""
